粉絲專頁,發文內容,發文時間
蘋果新聞,"我說你啊，獨樂樂友樂樂還眾樂樂，這真的是你的不對 　　#海編
 　
【圖文報導】野戰片遭恩客散布　阿公店小姐撂黑道討公道慘了
http://www.appledaily.com.tw/realtimenews/article/local/20170604/1132346/
　
【完整 #動新聞】
http://www.appledaily.com.tw/actionnews/appledaily/5/20170604/1132346/
#萬華 #阿公店",2017-06-05
蘋果新聞,"因醫療專業之不對等，舉證責任應改由挨告的醫師承擔
　
【相關】醫糾發生醫師負舉證責任　醫病團體看法兩極化
http://www.appledaily.com.tw/realtimenews/article/life/20170605/1133337
　
#最高法院 #醫療糾紛 #自證",2017-06-05
蘋果新聞,"恭喜喔！
　
【相關】安以軒大婚明登場　伴娘夏于喬海灘曬辣乳陪嫁
http://www.appledaily.com.tw/realtimenews/article/entertainment/20170605/1133311/
　
【相關】薄紗透出性感！ 野生陳喬恩抵夏威夷挺安以軒婚禮
http://www.appledaily.com.tw/realtimenews/article/entertainment/20170605/1133127/
　
安以軒 Audrey ""Ady"" An 安以? #蘋果獨家 #婚禮 #致詞",2017-06-05
蘋果新聞,"鼠無前例，這主人太有才啦！！一定要看到最後救公主啊XDD #海編
  　
#請開聲音 #蘋果精選影片 #請分享",2017-06-05
蘋果新聞,"蝦毀.......?
　
#撤櫃 #彩妝品 
?為什麼夏天不適合穿黑T-shirt？https://goo.gl/Z7f036",2017-06-05
蘋果新聞,"龍X電影台賭神我都看了28年，妳現在才引進隱形眼鏡(搖頭 #海編
　
【圖文報導】2017嶄新詐賭工具　檳榔西施成千萬女賭神
http://www.appledaily.com.tw/realtimenews/article/local/20170604/1132835/
　
【完整 #動新聞】
http://www.appledaily.com.tw/actionnews/appledaily/5/20170604/1131848/
#檳榔西施 #詐賭 #女賭神",2017-06-05
蘋果新聞,"唉...?
　
【#火線話題】林奕含之死與真相
https://goo.gl/ag7dh1
　
#女作家 #狼師 #補教名師 #林奕含 #陳星
《蘋果》關心你
自殺解決不了問題，卻留給家人無比悲痛。請珍惜生命。
再給自己一次機會
自殺防治諮詢安心專線：0800-788995（24小時） 
生命線協談專線：1995 
張老師專線：1980",2017-06-05
蘋果新聞,"狠毒母與同居人還卸責說：「我們只是管教一下，怎料會這麼嚴重！」?? #最新
　
#虐童 #天下有不是人的父母",2017-06-05
蘋果新聞,"北檢認定林明昇買超跑無不法
　
#超跑 #北檢 #保時捷 #興航 #林明昇
?為什麼夏天不適合穿黑T-shirt？https://goo.gl/Z7f036",2017-06-05
蘋果新聞,"大逆轉，你應該感謝警察伯伯才對? #海編
　
【圖文報導】超美外送妹半套服務　警破門開燈男客GG了
http://www.appledaily.com.tw/realtimenews/article/local/20170604/1132858/
　
【完整 #動新聞】
http://www.appledaily.com.tw/actionnews/appledaily/5/20170604/1132858/",2017-06-05
